particle,track_length,n_disp,D_alpha,D_alpha_stderr,sigma,sigma_stderr,alpha,alpha_stderr,true_D_um2_s_alpha,true_alpha
19,200,199,0.05042458485076508,0.004126269989942345,0.03718659687701562,0.007304511869176272,0.5056191619656281,0.026020491098885296,0.05,0.5
231,200,199,0.08451566259201247,0.007707061024151099,0.02757462056976814,0.0027131540694021686,1.1432547748081663,0.02991934685875508,0.05,1.0
86,200,199,0.061108830864721464,0.005746119738301348,0.04440946611880216,0.004089122167127823,0.7942744934887416,0.0332426729065769,0.05,0.7
152,200,199,0.046425450696977864,0.005058044079955297,0.032952330505252175,0.0026721424465919724,0.9838635338160024,0.033657486234932255,0.05,0.9
302,200,199,0.03561878236849068,0.004837389312709439,0.023141522138054246,0.0015034717126095488,1.3323024061167459,0.040470175756816995,0.05,1.5
419,200,199,0.03332868665329905,0.005748173083369293,0.023046424483189505,0.0012584673086962084,1.6305990268546857,0.04421883081063338,0.05,1.8
263,200,199,0.07002895589561971,0.00600130734691235,0.022360335900939575,0.0018736285842182922,1.226049200284902,0.027839461694720624,0.05,1.2
52,200,199,0.07712777103467508,0.011883541439759344,0.08384006515730755,0.0044917976129818515,0.9335063552637152,0.05068530598038201,0.05,0.5
223,200,199,0.09541406446007294,0.009299101686671772,0.02933562994819896,0.002279616811631354,1.2412217189032195,0.03703143244507345,0.05,1.0
365,200,199,0.0959327568031672,0.017348691740634435,0.023233378300667025,0.0010859885543843088,1.8803810594845523,0.021260124353228993,0.05,1.8
352,200,199,0.04055360425329275,0.006327878182888266,0.02387908007702176,0.0012409404302513773,1.5023323620233096,0.04534051123884464,0.05,1.5
174,200,199,0.12501628473974916,0.016700367596151823,0.0419593177861351,0.0026126660630743648,1.324021679487509,0.041460749649967044,0.05,0.9
314,200,199,0.1235333334238994,0.01961214616797037,0.025959358764616795,0.001264034267609902,1.7142230166868053,0.03130057376412476,0.05,1.5
258,200,199,0.09153581300725003,0.011863601412090703,0.027412953677366056,0.0016745491773399526,1.4314119414828257,0.032387625201193204,0.05,1.2
26,200,199,0.05010238854484396,0.004145471980087339,0.027331948631054877,0.008885174732878552,0.5189447772456174,0.024011711702322913,0.05,0.5
252,200,199,0.0574805845717822,0.006028025032147111,0.023448696154197073,0.001805843281133505,1.2315093595477102,0.030417380640515024,0.05,1.2
84,200,199,0.07090284341783502,0.0059925051980449645,0.02634766241030164,0.004566494036927826,0.8119827553482716,0.028224700722085216,0.05,0.7
306,200,199,0.06636443339240038,0.009163528467193316,0.025894004431985678,0.0014042927265055412,1.5509603432700712,0.035207098741086074,0.05,1.5
